id	qus	ans
447	مالك معااها😏🔪🔪😂😂	<Media omitted>
448	ظااابط	Noro
449	بقدر بجيني😌🤚	nor
450	اها الشحن بتااع الشداد كيف وكيف	الباس
451	اصلا	<Media omitted>
452	دقيقه نشووف زوولي ده	خش في السرفرات المدفوعه ما عندك شغله با free
453	ااااي	<Media omitted>
454	🤚	<Media omitted>
455	<Media omitted>	شباب قلنا ليك
456	دي تاااانيه	اي دي هي زاتها
457	سعرو كم	امشي اضبط التطبيق
458	احشك😂😂🔪	.
459	اسمعني انا بكرة جاااييك	شنو؟
460	سلام عليكم انا حفك ليكم طرف خيط تتمو براكم تجتهدو فيو تدو لي بعض المهم اتصرفو وإنشاء الله تزبطو بس ارجو من النااس ما تجيني خااص لانو ما حعمل ليكم اااي شي تاني ولا بوري زوول تمام	""
461	كدي كشف الشغل ده	اتاكد
462	احدي بديتوو المحضرات😂😂😂🤚	<Media omitted>
463	يعني م سوداني😂😂	طيب اتصل
464	انت كدا احذف sa	اعمل start
555	خلصت امتحانات يعني؟	❌🔞😂😂
465	امممم ظابط	انت مشترك في خدمه تانيه غيرها؟
466	Maul trevejo	بتصل جرب
467	😂😂😂🤚	يا اليوز غلط
468	ي مان	<Media omitted>
469	ظاب	Noro
470	ط	nor
471	<Media omitted>	<Media omitted>
472	<Media omitted>	ما
473	<Media omitted>	قبيل كان تلاته سبعات
474	هوووي ي عرص😂😂😂😂🔪🔪🔪	<Media omitted>
475	حضرتوو😂😂😂🤚	اكتب Noro
476	😂😂😂🔪🔪	<Media omitted>
477	هوووي ماف حاجه كعبه😂😂😂🔪🔪	اغنج
478	لالا😂😂	<Media omitted>
479	ديل ناس الشمالية😂😂😂😂🤚	الامور وضحت
480	<Media omitted>	<Media omitted>
481	شنو ي😂😂	<Media omitted>
482	اااي والله	<Media omitted>
483	<Media omitted>	اشتغل بالطبيق
484	اااي والله + م لاقي شغل ظابط انا	<Media omitted>
485	م عارف	<Media omitted>
486	هل انت معرص ولا م هل	<Media omitted>
487	هل	جيب رقم المزه هديل
488	دي منو دي😂	You deleted this message
489	وووووااااااااععع😂😂😂	<Media omitted>
490	م بتشبهها ولا اي حااجه😂😂	مع الجووو 🔥
491	ي زووول م بتشبهها😂😂😂🤚	<Media omitted>
492	البلكوناات دي الا تلقاها في الداخلية😂😂😂😂😂🤚	الحق الجو ي شكشك
493	😂😂😂😂🤚كيف	وجيب رقم القونه المنزله المنزله فستان🐸
494	خاااام صح	<Media omitted>
495	😂😂😂😂😂🤚	Fucking way pro
496	حضرتها من زلت كدا😂😂🤚	الجو ده يوم بقتل ليهو زول
497	سمعتها من نزلت كدا***	رايق مسبب الحرايق
498	اااي	سنجل هو زول لكن ؟ 🐸
499	والله من اسناب تيوب بس	ما تخلط وتخلي اخوك
500	😂😂😂😂🤚	<Media omitted>
501	مسكين ي😂😂🤚	<Media omitted>
502	ايوا	اعمل قروب فيهو تلاته نفر بس تكون ما قصرت
503	اسمعني داير لي حساب نتفليكس ي	<Media omitted>
504	<Media omitted>	جيب واعمل القروب
505	نورو	<Media omitted>
506	تمام والله	عشان بعدين ترقع لي لو قلت حاجه غلط
507	كيف🙂💔	<Media omitted>
508	انت مش انت وقاعد في زالنجى😂😂😂😂😂😂🤚	نخلط سوا ×
509	اصلي داير اعمل لي حساب بايبال	<Media omitted>
510	رساااام اااي😂😂😂🤚	عندها قدتين
511	اها م داير ليك مسلسلات😂😂😂🤚	<Media omitted>
512	اها الكيفية كيف	<Media omitted>
513	ماف مساااحه	او ضيف زولتك
514	<Media omitted>	<Media omitted>
515	والله تجي تلقى النزلناهم جداد بس	بعتبر نفسي ما شفتو
516	دسيس	الجو
517	بلاك ده شنو	<Media omitted>
518	😂😂😂😂😂😂💔	<Media omitted>
519	اها مالوو	+
520	عرفتوو	ماشي نركب في برج mtn الجمبنا ده زات
521	يخلط منو هناك😂😂😂🤚	على الاقل يدفعو الديه
522	بتكلم مع الرجال بس😂😂😂🤚	<Media omitted>
523	عليك دييينك🙆🏾‍♂️🙆🏾‍♂️	<Media omitted>
524	مش قلتوو بناااتكم م دسيسات😂😂😂🤚	هديلزز
525	برضووو لن تنالوو	<Media omitted>
526	ناس منو + عبرو كيف	مع المطرزز
527	بلاك هسع قعد يقوول زالنجي م دسيسه	راجلها جلتك
528	😂😂😂😂😂🤚	*جاك
529	<Media omitted>	انت لو هي جاتك امورك بوضح أكتر منو
530	اصلا انا من زمان كدا	شحن شدات ببجي متوفر
531	🐸	بالتقيل
532	Family mix ده شنو	<Media omitted>
533	اها ومالوو	دسيزز
534	نورو🌚	<Media omitted>
535	الخبر شنو	دي دبك ولا تانيه
536	طيب جديدك	اسمعني نزلت لوسيفر لحدي كم
537	كلنا كدا	ما عرف😹😹
538	والعلم ماشي كيف	دسيزز
539	الله يعينكم بس	<Media omitted>
540	تميت الشغل خلاص	هوي يا بشر
541	ابداااع والله	اصبر نطلع من المحاضره
542	ناس منو	<Media omitted>
543	فطووم رسبت وتاني انت بتعرف منو	طلس
544	جيب الاسم	ده  as تابع لى اتصالات السعودية
545	في مرفا جابت	اي
546	ماف تااني	هو ما سوادني اكيد ما حيجر
547	الله يبارك لي	ده بتاع طلس
548	تمام	دي منو
549	ادييك ليهوو	<Media omitted>
550	Marfa.vcf (file attached)	هوي يا زول
551	شفت اااي	الاخبار
552	بتااعت التلفون؟؟	<Media omitted>
553	😂😂😂😂😂🤚	<Media omitted>
554	شنو ي	<Media omitted>
556	😂😂😂😂😂🤚	<Media omitted>
557	اها وصلتا😂🤚	<Media omitted>
558	قدااام	<Media omitted>
559	<Media omitted>	غنجت بيها براك
560	امممم خلاااص احدي م نجيك🤚	<Media omitted>
561	+ انت حضرتهم	<Media omitted>
562	اها حضرانين؟؟	<Media omitted>
563	وهو كلوو كم موسم	<Media omitted>
564	ياااخ بركن باد انا بنزلوو برااها	عطاله صحي صحي
565	لكن بعد ادخل الجامعة😂😂😂🤚	<Media omitted>
566	اااي	ضانت زاتك عاطل
567	<Media omitted>	انت زاتك
568	بتااع شنو ال cv ده	<Media omitted>
569	امممم معناها ننحنا برضوو نعمل ولا كيف	زي شنو
570	ظط خلااص😂😂🤚	<Media omitted>
571	😂😂😂🤚	<Media omitted>
572	نرقص شنو ولي شنو	ارقص
573	الجن ولا النفسيات	هل انت مكثر في بنات الاهليه ولا ما هل
574	يلا نووم طيب	<Media omitted>
575	زالنجي😂😂😂😂😂🤚	<Media omitted>
576	هوووي لقيت حساب من وين	انت عميان
577	ده منو	طالع من الغنجه يا زول💔👀
578	.	<Media omitted>
579	.	اي
580	وده منو كمان	<Media omitted>
581	ايوا	<Media omitted>
582	وريني الكوشة دي وين عشان انا زاتي داير🌚	لالا يااه😂😂
583	معرص😂😂😂🔪🔪🔪	من اسبوتفاي ولا وين
584	ااااي😂😂🤚	صكم
585	محلها وين	انا نشيت جاسفت لي حساب اسبوتفاي بعداك
586	😂😂😂😂🤚	<Media omitted>
587	اسمعني كدا عزني بقنوات تلجرام دسيسه	لكن كدا كدا قاعد نسمع برودكاست
588	المهم انا داير لي قنوات	$
589	المهم اي قنوات لي تلجرام	<Media omitted>
590	ي كسم انا قناة واحدة م عندي ليها😂😂😂🔪🔪	<Media omitted>
591	رسل لي روابطهم	الامور والصحه
592	جديد😂😂😂🤚	صيص
593	القديم م عاارفوو مشى وين	الافلام الزي دي بذات فاقدنها وبشده
594	+القديم كان كلووو قنوات	<Media omitted>
595	🌚	أعمل
596	انا زاتي داير اتعلم لكن في يوم كامل	<Media omitted>
597	ااااع وين ي😂🤚	بعد انتهي من الامتحانات
598	اسمعني	خلي الفلاش ما تمسح اي حاجه
599	انا و تمبرلي جاااينك يوم الجمعه	<Media omitted>
600	البيت	شوف لاب كبو المهم ما تمسح
601	عجلنا الجيه لي يوم السبت زاتووو😂😂😂😂🤚	افتح vpn وادخل www.PayPal.com  وسجل
602	لالا ماف زمن	<Media omitted>
603	الليله	قداام
604	😂😂😂😂🤚	بلاك
605	بتاع شنو	<Media omitted>
606	رقص شنو	الخاله
607	اااا الجنا انت عبرت لكن😂😂😂😂🤚	<Media omitted>
608	م حنك	صحبك
609	اممممم	<Media omitted>
610	ي زوول موفق انشاءالله	ده هو زاتو ما عرفتو
611	كويس والله😂😂	قاعد يخلط
612	انشاءالله	امورو واضحه
613	+ اخووك شااتووهوو في التقديم	<Media omitted>
614	اااي واللع	داخليه البنات ورانا طوالى
615	ه	دايما ماشي وجاي
616	كفاارة بتااعت شنو ي زوول	اي
617	في تقديم تااني يعني؟؟	<Media omitted>
618	كويس	الناس ديل عبرو يا زول
619	<Media omitted>	<Media omitted>
620	ااااع وين ي😂😂😂🤚	بلاك
621	لالا ياااا😂😂😂💔	أكتر زول زالنجه نافعه معاه
622	شنو ده	<Media omitted>
623	كلنا كدا	<Media omitted>
624	<Media omitted>	بقيت بتاع براعم
625	<Media omitted>	<Media omitted>
626	شنو	<Media omitted>
627	والله م عاارف😂😂🤚	<Media omitted>
628	<Media omitted>	حساب اسبوتفاي عائلي
629	جلستا🙂💔	<Media omitted>
630	وووووواااااااهههههيييي😂😂😂🤚	تبوو
631	المرة الجاية بس😂😂😂🤚	زولي
632	كيف😂😂😂🤚	عوجه مافي
633	قصدك قعد تتكلم في الواتس كتير	دبرسه بس
634	تستاهل ي زوول عشاان تااني م تفرط	كشفو الامتحانات وهسي لغوهم كلهم
635	اصلي شنو براك كدا💁🏾‍♂	قاعدين ساي
636	<Media omitted>	اي😂
637	اصلووو م ممكن منك والله😭😭😭😭🤚	شكراااااااا
638	عزنا معااك مالك🔪	الجماعه اخبارهم شنو
639	م عندي والله	فطم والجماعه
640	بلاك بوي بس عندو قريب تلاته	<Media omitted>
641	كيف الكلام ده	بقيه الجكس
642	نفهم شنو	والبقيه
643	نزلت فيهوو شنو زي ده	<Media omitted>
644	ال vps	الف مبروك
645	زي شنو وشنو	بارك ليها انا ما عندي رقمها
646	لسع يكسم ذاكرتك دي يزوول	<Media omitted>
647	اممممم	<Media omitted>
648	معناها رمضان عزيتنا عدييل كدا😂😂😂🤚	<Media omitted>
649	😂😂😂🤚	Pc
650	يلا م تنسيني ال ملفات ال vps	بارك ليها و أكسر الحنك
651	ارح	<Media omitted>
652	احشك زاااتووو	الزول واخيرا داير يغادر زالنجي
653	اها طيب جيب الجديد😂😂😂🔪🔪🔪🔪	اي
654	امممم كويس	هسي في العربيه
655	تحرش ي كبير😂😂😂🤚	<Media omitted>
656	انسان وهمي شديد😂😂🤚	<Media omitted>
657	مش😂😂🤚	جوا الجك
658	والنزول متين	شنو انت ما ظاهر
659	الساعة كم لكن😂😂🤚	<Media omitted>
660	احشهم ي😂😂🤚	اي
661	تمام	Full metal ده حضران
662	بنزلهم في الاستوري ولا وين	لكن عندي منو  حلقه بس
663	تمام	اما brekin bad ده موسمين
664	والله طولت م اشتغلت بيهوو	<Media omitted>
665	منتظر نتيجة الشهادة بس	قداام
666	لالا😂😂🤚	<Media omitted>
667	لالا😂😂🤚	لو داير تقدم ولا أي حاجه
668	اها الخبر شنو😂😂🤚	<Media omitted>
669	مع وكيف مع الامطار	بعد ما تدخل الجامعه
670	امممم	<Media omitted>
671	نورو	<Media omitted>
672	شنو ي مان	أرقص
673	جديداتك شنو بلاااي	<Media omitted>
674	ي زوول الله يعينك ي	زمن النوم وصل
675	ي نورو	امشى اخلط انا بمش بنوم
676	اها وين النماذج؟؟	<Media omitted>
677	<Media omitted>	دي أكسير
678	🔥🔥🔥🔥	بت الخرطوم
679	اها بكرة الزمن ده حتكوون في تركيا😂😂😂✋	<Media omitted>
680	ي زووول ربنا يوصلك بالسلااامة بس	من الكوشه
681	اها الجديد شنو بلاااي	كوشه حي السلام
682	هوووي يعني انا برضوو لازم اكتب خطاب التوصية بالانجليزي🙂	<Media omitted>
683	احمد مبارك فرح ده بتعرفوو؟؟	<Media omitted>
684	اااي 😂	كوشه ظابطه صح  😂
685	زي بعرفوو انا	شارع السلام جنوب بالخلا
686	اممم ظاابط ي مان	<Media omitted>
687	وانا قريت معاهو في كاشا + هو برضوو قدم للمنحة؟؟	دي قديمه عدلت في البورت بس لقيتو زبط بجر ميقات لكن وهميه
688	في الخطاب ده شايف ماف الايميل بتااع الاستاذ؟؟	<Media omitted>
689	ايوا	زي شنو كدا
690	منتهي 😂 😂 ✋	بتاع شنو قصدي
691	يلا عقباال اخووك يقدم ويقبلوهو😂😂😂✋	انت سكران يا زول تلجرام كلو قنوات 😂😂
692	انشاءالله	<Media omitted>
693	<Media omitted>	<Media omitted>
694	اااي والله 😂	شغال بي ديل
695	الله يباارك فيك ي	<Media omitted>
696	ظط🔥	<Media omitted>
697	ي مان	<Media omitted>
698	اللمور	قول سنتين
699	لالا ظاابط	<Media omitted>
700	ي مان	في شارع النيل ولا البيت
701	اسمعني خطاب النيه ده بحتاج لي مقدمة زي خطاب التوصية ولا تخش في الموضووع طواالي؟؟	عندنا يوم الجمعه قعده مع الدفعه الجامعه في شارع النيل
702	يعني زي تبدأ ببسم الله او م شابه ذلك؟؟	<Media omitted>
703	حبيبي والله 😂 🔥🔥✋	الليله كيف
704	خلاااص ظاابط ي مان😂🔥🤝	<Media omitted>
705	اها انت كيفك وكيف الاوضااع هنااك	رقص
706	لالا ظاابط	<Media omitted>
707	اها هسع صاابيها في السكن مش؟؟	تطوير مواقع أنترنت
708	ومشيت كشفت للجامعة والحاجات دي كلها	ده هزار
709	حضراانة صح😂😂😂✋	تطور بلغه HTML
710	اااي صورها لينا وكدا صور لينا السكن لو ظاابط😂😂✋	بدري 😂😂
711	كيف😂🙆🏾‍♂️	أمين يااخي وان شاء الله كلنا نطلع من البلد دي
712	يعني السكن م جوا المدينة!؟؟	لالا ياااه
713	السنتر بتااع المدينة يعني؟؟	ياخي كفاره والله
714	😂 😂 😂 ✋	قدم تاني يا زول
715	بليسك	مافي مشكله تاني بس يا فرده
716	انت في الجانب الاسيوي ولا شنو😂😭😂😭😂✋	خاص
717	كويس والله 😂	امشي العاصمه
718	مدينتك دي الا ابحث عنها😂😂✋	<Media omitted>
719	😂 😂	دي لو رفعتا في الحاله في ناس بتجن
720	اها وبتبدأ الدراسة متين	<Media omitted>
721	دراسة لغة ولا جامعة عدييل؟؟	دي زاتها عامله كركبه
722	حلوو والله	<Media omitted>
723	فرق الزمن بينا وبينكم كم سااعه؟؟	<Media omitted>
724	كيف😂	عدم شغله
725	يعني ماف فرق😂😂✋	نوم بس
726	ااي	<Media omitted>
727	يعني الفرق ساعتين ونص	حول فيديوهات الاحفاد نجس بيهو ناس كدا 😂
728	اممم تمام	F
729	تحضر الخطبة بجااي وتمشي الباار بهنااك 😂😂😂✋	<Media omitted>
730	مكناااات 🔥😂✋	الود الشالو في الاحفاد عمل شنو 😂
731	ي مان اسمعني	<Media omitted>
732	الشهادة لازم تتوثق ولا تقدم سااي من دوون توثييق؟؟	طقشوني الجماعه😂
733	يعني اقلبها انجليزي وبس✋	ده كلوو من الواتس الكتير
734	اممم ظاابط	او اسبوع زمن مسكت المركز الثاني عندي اربعه يوم ما شفت النت
735	لكن الافضل تتقلب انجليزي	بعداك امسك الجلد
736	انت م قلبتها انجليزي؟؟	<Media omitted>
737	وطيب مالك😂😂	هااا....
738	<Media omitted>	جيب اكسترنل
739	<Media omitted>	لاب ملا
740	<Media omitted>	بل
741	<Media omitted>	قرب يعني
742	و اسمعني خطاب النية ده برضوو لازم يكون في شكل pdf?	بالنسبه
743	كيف يعني	<Media omitted>
744	اصلا خطابات التوصية عملتهم pdf بس فضل خطاب النيه	انمي
745	بتجددها بعد كم؟؟ 😂	<Media omitted>
746	تمام	الباقي بشتغل بيهو مشاريع ي زول
747	ايوا	كتار
748	سناااقل لاي زووول 😂 ✋	<Media omitted>
749	دي غرفتك؟؟ 😂	<Media omitted>
750	ظاابطة والله	ارح التىي
751	<Media omitted>	Telegram
752	اااي😂😂✋	قفلت من ازل امس
753	<Media omitted>	<Media omitted>
754	امممم	<Media omitted>
755	فهمت حااجة😂😂😂💁🏽‍♂️	مافي
756	<Media omitted>	<Media omitted>
757	اااي اااي 😂 😂 😂	ده بتاع جركانات ساي
758	<Media omitted>	قالو  الليله لكن ما شايفو في نتفلكس 😂😂
759	اي صح	ما عارف
760	😂😂😂✋	<Media omitted>
761	اها البلد دييك ماشة معااك كيف	جمهورية أبو الأمزان 🇹🇷
762	م بتبلع😂😂😂✋	ده طالب في تركيا بنزل مواعيد فتح وقفل التسجيل شوفو والعجبك أعمل ليهو بحث وتعال نفتش الاسعار كيف
763	قول الموزة ال في الحلق😂😂✋	في التلجرام
764	لالا يااامك والله 😂	httpst.memazendorra
765	اسمعني انت بتكون فاضي متين؟؟	اعدادات الدويد الشغاله معاك كويس كم كم
766	خلااااص ظااابط	الموضوع داك عملت فيهو شنو
767	دايرك تقدم لي انا وصحبي لمنحة تركيا؟؟؟	في غنجه تانيه ولا شنو 😂
768	خلااااص منتهي	قصدي اقنعت الاهل
769	كدا انا بعملهم pdf وبرسلهم	😂
770	زولي🤝	مركلسين
771	ي نورو	بالزوق بس
772	اااي	httpsyoutu.bezHbUZrg
773	<Media omitted>	ولدك
774	<Media omitted>	قاعد
775	<Media omitted>	حفر بس
776	<Media omitted>	<Media omitted>
777	<Media omitted>	أمين يارب
778	<Media omitted>	جديدك
779	This message was deleted	تبو
780	<Media omitted>	<Media omitted>
781	<Media omitted>	<Media omitted>
782	الشهادات ديل كشف اوضح واحدة وقدم بيها	<Media omitted>
783	<Media omitted>	<Media omitted>
784	Mujtabamohmmed@gmail.com	<Media omitted>
785	mustafamustafa دي كلمة السر	ان شاء الله
786	صورة م بتنفع يعني لانو الشهادة م معااي والله	اميين يا رب
787	تمام	جاك حق فرح😂😂
788	كدي دقيقة نشوفوو	ده كان مشيت طلعت معاو الخطابات سوا 😂
789	<Media omitted>	بالعربي برضو ما مشكله
790	<Media omitted>	قريت معاو الاساس في ادم دفع الله
791	استلم ي مان	كل مدير قسم بكون كامل بيناتو في الموقع حق الجامعه عشان كدة مافي داعي
792	في الشهادة موجوود	اي ممكن 😈
793	<Media omitted>	<Media omitted>
794	ده تعديل لخطاب النية	بالتوفيق🌿🔥
795	ااي كانت اخطاء املائية بس✋	يا بشر جامعه السودان عدييل
796	اها ي مان تميت الشغل؟؟	الف مبروككككك
797	<Media omitted>	🔥🔥🔥🔥
798	<Media omitted>	قدااام يا مان
799	اها م لقيت انت؟؟	هلااا
800	تميت التقديم خلااص،؟؟	ماف كعب
801	م خشيت التلغرام انا	ايوه
802	اها انت زمن تاني تقدمي لي ولد ده؟؟	<Media omitted>
803	عندك**	<Media omitted>
804	ماف حاجه جاتني في التلجرام	<Media omitted>
805	😂 😂 😂	اي
806	اااي 😂	<Media omitted>
807	<Media omitted>	السكن اسلامي
808	<Media omitted>	احنا في وادي والشارع في وادي
809	بس كترت في علم الاحباء	في المركز
810	ي	<Media omitted>
811	<Media omitted>	اي
812	<Media omitted>	Bilecik
813	😂😂😂😂	<Media omitted>
814	على فكره شكر على الكلام القلتو من وراي بس الحق ما عليك الحق علي انا الَإتكلمةّ مع الَأّشكاال أّلَزيك دِيِّ كنته فأّكرك زول بتحفظ الأّسرأّر بس طلعته واحد عندك نقص والاشكال الزيك ديِّ ما بتناسبني ده مقطع من مسلسله ستعرض في رمضان كل سنةّ وانت طيب يلَأّ يِّأّ معلم اعملهأّ لي اصحاابك وِأّحرق دمهم زي ما إنحرق دمي ودمك	يب
815	<Media omitted>	دقيقه من الساحل وساعتين من الجانب الأوربي
816	ي مان	<Media omitted>
817	الاخبااار	<Media omitted>
818	بتعملوو فيو شنو	الاحد
819	لالا ظاابط	<Media omitted>
820	ايوا	لغه
821	والله اياامكم ي	<Media omitted>
822	الجنا بقى حلووو لكن😂😂😂😂✋	شغالين بالتوقيت القديم
823	اسمعني انت سر الاحمر شنو😂😂😂😂✋	😂😂
824	معقووولة الصُدف دي كتيرة زي ده😂😂😂😂✋	الصبح الساعه سبعه ونص
825	<Media omitted>	الزمن واحد لكن التوقيت بختلف
826	وهنا عندنا ليهوو مخزن بالشواالاات	هناك الصبح الساعه خمسه هنا سبعه ونص
827	<Media omitted>	تقريبا 🌿
828	سعر الكيس الواحد هنااك حجيب ليك هنا كم ملوة كدا😂😂😂✋	<Media omitted>
829	الدولاار هنا بجييب ليك اربعه اضعااف الكيس ده	<Media omitted>
830	اااي والله 😂	<Media omitted>
831	<Media omitted>	عرفت ليو
832	زعلااان بس انا😂😂😂✋	<Media omitted>
833	م ممكن يكون مبسووطين من جميع النوااحي	برضو مافي داعي
834	وزيرة مزة وعائلات مبسبووطة وكدا	ما عارف
835	<Media omitted>	<Media omitted>
836	جامعتكم مخطلتة	قلبتها
837	<Media omitted>	<Media omitted>
838	وانت معرووف كسووداني زوول طقة بس	اللغه العربية ما معتمده يعني ؟
839	اااي	<Media omitted>
840	<Media omitted>	كلهم pdf مش خطاب النيه براها
841	والله دي الدنيا ي بلااااش😂😂😂✋	اعملها برضو
842	هسع شغالين محاضرات بتااعت لغة ولا محاضرات بتااعت الجامعة عدييل	الإقامه  سنين تجددها كل سنه
843	ايوا	<Media omitted>
844	اها اللغة ساهلة ولاصعبة؟؟	اي
845	عليك ديينك	<Media omitted>
846	م حنك مع الممارسة الكتيرة بتمشي معااك😂😂✋	بالله
847	لع كان حلوووو	<Media omitted>
848	م بتعرف تتكلم الحاجاات اليومية زي تسلم وترد وتسأل عن الحاجة الفلاانية؟؟	اعمل scan من اي مطبعه
849	ايوا القواعد يعني صعبة للدرجة دي	<Media omitted>
850	القواعد مش بعلموك كيف تربط الكلاام وكدا صح؟؟	قدر ما حاولت اصفي النيه ما قدرت
851	<Media omitted>	واقي
852	ايوا في الحاالة دي صعب😂😂✋	<Media omitted>
853	<Media omitted>	صح
854	عصب🔥🔥🔥✋	<Media omitted>
855	<Media omitted>	<Media omitted>
856	ماف شي	زي العسل في الحلق
857	انت متين جربت تصوم برا😂😂😂✋	<Media omitted>
858	الاجواء ظاابطة شديد😂😂😂✋	بتمش مشي الجن
859	وطيب كيف يبقى في السودان احلا😂😂😂✋	ظط
860	محل استكاانة	<Media omitted>
861	كورس برمجة؟؟	ايام السبت
862	يعني نظام تصنع العاب وكدا؟؟	الحاصل شنو
863	ايوا	<Media omitted>
864	اصوات شنو دي؟؟؟	قداااك
865	دييييم ي 🙆‍♂️ 😂 ✋ 😂 😂 😂	م
866	قريتوو شنوو احدي تمتحنوو؟؟	اها ي زولي
867	امممم كويس والله عبرتوو	جهزت
868	اول مرة تعيش حاالة العذابة ولاشنو😂😂😂😂	Gg
869	<Media omitted>	رسل
870	الليله الاستوري مولع لكن😂😂✋	اسكان ماصوره
871	في جزء تاني	رسلهم في التلفرام
872	<Media omitted>	قول ليهو يعمل اسكان من اقرب محل ما بكلفو دقيقتين
873	ارح خليني نشووف الحااصل😂😂✋	You deleted this message
874	انتو في صاالة ولاشنو😂😂✋	You deleted this message
875	ومعااك سودانيين؟؟	<Media omitted>
876	ايوا	لقيتو
877	<Media omitted>	عدلتو شايف فيهو اخطاء؟
878	ايوا	رفعت اي حاجه بقي ترتيب الجامعات والنيه
879	وشنو البنات بي جهة والاولاد بجهة😂✋	<Media omitted>
880	اااي	بين الكليات
881	<Media omitted>	تميتو امس ما لقيت التفاصيل في التلجرام
882	ايوا😂😂✋	<Media omitted>
883	ده واحد من المساليت في الجنينة	صحبك
884	اااي	<Media omitted>
885	يعني في حرب الجنينة الاياام دي	تسلم
886	الحديقة في البحر 😂😂✋	<Media omitted>
887	ايوا	<Media omitted>
888	وه وه 😂	<Media omitted>
889	ترا اموركم دسيسة هناااك 😂	<Media omitted>
890	شي افطار جماعي وشي رحل بتاعت مخيمات وحاجات كتيره 😂✋	<Media omitted>
891	يعني المروقات دي كلها عشاان تتعلموو اللغة كويس	جمبك
892	اها عشان تشوفوو البلد ولاشنوو	حمد لله
893	😂	رحله ترفيهية
894	ايوا	🌿
895	يعني م مكلفة زي داك؟؟	<Media omitted>
896	بختكم والله 😂	صدفه
897	تبااارك اياامك	<Media omitted>
898	ان شاءالله ي رب	دي الصدفه المرغوبه
899	مكنه✋	<Media omitted>
900	وين ي مان	غاليه خلاص😂💔
901	اخباارك وصحتك	<Media omitted>
902	والله الحمدلله	الكيس بس  ليره دولار وحاجه
903	لالا حلوو	ملوتين تاكل لمن تشبع
904	والله ي مان اهوو جري الجامعة وكدا	<Media omitted>
905	اااي والله	عرفنا دي رئيسة الوزراء انت ملك😂😂💔
906	بدينا خلاااص	<Media omitted>
907	اااي	<Media omitted>
908	<Media omitted>	الفديو جاء باصدفه وفي محلو
909	😂	<Media omitted>
910	كويس ان شاءالله	وفي جامعه ما مخطلته اصلاا؟؟
911	اها انت امورك كيف هنااك؟؟	ده الواحد بمشي يوم الجمعه بجاهد جهاد عشان ما يقطع الوضو ويلق الجامع بعد المحاضره الثانيه
912	لالا الحمدلله	لغه
913	مااان	<Media omitted>
914	الاخباار	ابن كلب
915	لالا الحمدلله	<Media omitted>
916	والله ماشي الحال نحمدالله	بتتجاسف
917	ولدك	دي حاجات اساسيه مجبور تتعلمها  قصدي بالصعب هي القواعد مش التحدث العادي
918	<Media omitted>	<Media omitted>
919	<Media omitted>	شوف زي مثلا في المستقبل  في مستقبل قريب وفي بعيد ونفس الكلام في المسافات ونفس في الماضي والحاضر
920	<Media omitted>	<Media omitted>
921	<Media omitted>	<Media omitted>
922	<Media omitted>	?
923	<Media omitted>	<Media omitted>
924	اها انت اوضااعك كيف	الاجواء 😂💔
925	والحاااصل عليك	بالزوق
926	اها لسع م خلصت السنة التحضيرية؟؟	??
927	يعني هسع خلااص فهمت اللغة التركية	برنامج في هو العاب
928	وبتعرف تكتب؟	يب
929	<Media omitted>	ده واحد بصحي سحور 💚
930	ايوا	المستوى الاول من اللغه
931	ي مان	الحمدلله
932	وين ي عمك	<Media omitted>
933	كيف مع الدراسة	<Media omitted>
934	والله نا تمام الحمد لله	ماي بوي
935	لالا الحمدلله	دي الجزء الاول من ليله امس 😂😂✋🏽
936	هسع في اجازة سمستر	<Media omitted>
937	انتهيت من اللعب زاتوو😂😂✋	كافيه
938	شديد	You deleted this message
939	اها وانتو بديتو	اتجمعنا هنا لكن هم جو من مدن تانيه
940	😂	<Media omitted>
941	اللغة ولا السمستر؟؟ 🙆🏾‍♂️	دايرنا نخطلط !
942	وا وي انتوو عبرتوو والله 😂 😂 😂 ✋	في رمضان 😂
943	لالا حظكم والله 😂	دي فرحانيين زياده حيقلبو فينا نتعود حبه حبه بعداك
944	اها دراستهم دسيسه؟	<Media omitted>
945	مافيش اضرابات مافيش اجازات طويلة😂😂✋	ده منو
946	اااي عشااان تفهموو التركي بكلوو	واحد منهم
947	<Media omitted>	؟
948	😂 😂 😂	يب
949	😂 ولا كيف 😂	<Media omitted>
950	لالا😂😂😂✋	<Media omitted>
951	مكنه🔥🔥🔥✋	<Media omitted>
952	انت المختفي 😂 ✋	<Media omitted>
953	عدييل كدا 😂	اللغه ظوط
954	نازلين امتحااناات ولاشنو	لالا يا زول
955	احساس بس	في واحدات من برامج السكن والبقيه مننا
956	<Media omitted>	قريب للمجان
957	اااي اااي 😂 😂 ✋	<Media omitted>
958	نورو ي جميل 🔥 🤍	وأنت طيب يا فردا وكل الاماني محققه أن شاءالله
959	الخبر شنو	تبو ي تبو 💚
960	والله كلوو حلوو الحمدلله	قاعد
961	ان شاء الله	امورك شنو
962	اها الجديد شنو والحاصل عليك	الحمد الله
963	الوضع ظاابط؟؟	الجديد وياك
964	عبرتوو والله 😂	نزلتو ،  وبديتو خلاص
965	انا هسع نازل امتحااناات السمستر التاني	في الخرطوم انت حسي صح
966	شديد	<Media omitted>
967	لالا حلوو	<Media omitted>
968	<Media omitted>	اجتهد بعدا
